,t,knn_dist,rescaled,MSE,RMSRE,RRMSE
0,,,,62455.668,0.656964,5.517492240869615e-06
1,1.0,euclidean,True,71792070.0,0.9517041,0.00018706565469983616
2,1.0,euclidean,False,21795.258,0.390269,3.259393821508638e-06
3,2.0,euclidean,True,71783870.0,1.1100016,0.00018705496813709033
4,2.0,euclidean,False,18611.746,0.39606285,3.0119611693635306e-06
5,3.0,euclidean,True,71780020.0,1.3188583,0.00018704994317886303
6,3.0,euclidean,False,19463.393,0.4263725,3.0801018624515564e-06
7,4.0,euclidean,True,71777870.0,1.4711485,0.00018704715785133885
8,4.0,euclidean,False,20388.584,0.4466189,3.1524582055908468e-06
9,5.0,euclidean,True,71776670.0,1.5607609,0.0001870455889729783
10,5.0,euclidean,False,20990.305,0.4613903,3.198638509616103e-06
11,6.0,euclidean,True,71775976.0,1.6079012,0.00018704467947827652
12,6.0,euclidean,False,21410.13,0.4686909,3.2304679820072124e-06
13,1.0,cosine,True,71792104.0,0.9534233,0.00018706570017457125
14,1.0,cosine,False,21737.49,0.39100176,3.2550715900470095e-06
15,2.0,cosine,True,71783790.0,1.1120478,0.0001870548544502526
16,2.0,cosine,False,18690.0,0.3962316,3.018286420797267e-06
17,3.0,cosine,True,71779970.0,1.3186051,0.0001870498749667604
18,3.0,cosine,False,19470.002,0.424021,3.080624821905076e-06
19,4.0,cosine,True,71777890.0,1.4710982,0.0001870471805887064
20,4.0,cosine,False,20362.457,0.44676214,3.150437777321713e-06
21,5.0,cosine,True,71776664.0,1.5610106,0.0001870455889729783
22,5.0,cosine,False,20993.936,0.46085125,3.1989152660116815e-06
23,6.0,cosine,True,71775976.0,1.6087955,0.00018704467947827652
24,6.0,cosine,False,21413.771,0.4689177,3.2307429620459516e-06
