,t,knn,MSE
0,1,euclidean,0.43746504
1,2,euclidean,0.6265522
2,3,euclidean,0.69026077
3,4,euclidean,0.7042531
4,5,euclidean,0.7095695
5,6,euclidean,0.71189034
6,7,euclidean,0.71357256
7,8,euclidean,0.71407515
8,9,euclidean,0.7150007
9,1,cosine,0.71510077
10,2,cosine,0.7151531
11,3,cosine,0.7151716
12,4,cosine,0.7151889
13,5,cosine,0.71520305
14,6,cosine,0.71520734
15,7,cosine,0.7152083
16,8,cosine,0.71520835
17,9,cosine,0.7152083
18,1,correlation,0.4211466
19,2,correlation,0.6168741
20,3,correlation,0.6840225
21,4,correlation,0.69923085
22,5,correlation,0.7040305
23,6,correlation,0.70571834
24,7,correlation,0.7068728
25,8,correlation,0.70781946
26,9,correlation,0.7085626
27,1,cityblock,0.7086078
28,2,cityblock,0.7086593
29,3,cityblock,0.7086794
30,4,cityblock,0.70868313
31,5,cityblock,0.70868355
32,6,cityblock,0.70868355
33,7,cityblock,0.70868355
34,8,cityblock,0.70868355
35,9,cityblock,0.70868355
36,1,l1,0.39192802
37,2,l1,0.59475315
38,3,l1,0.6648109
39,4,l1,0.67943925
40,5,l1,0.6843086
41,6,l1,0.687701
42,7,l1,0.69083637
43,8,l1,0.69366705
44,9,l1,0.6960226
45,1,l2,0.6962396
46,2,l2,0.6965675
47,3,l2,0.6968591
48,4,l2,0.69689023
49,5,l2,0.69689435
50,6,l2,0.69689476
51,7,l2,0.69689476
52,8,l2,0.69689476
53,9,l2,0.69689476
54,1,manhattan,0.7152083
55,2,manhattan,0.7152083
56,3,manhattan,0.7152083
57,4,manhattan,0.7152083
58,5,manhattan,0.7152083
59,6,manhattan,0.7152083
60,7,manhattan,0.7152083
61,8,manhattan,0.7152083
62,9,manhattan,0.7152083
63,1,braycurtis,0.7152083
64,2,braycurtis,0.7152083
65,3,braycurtis,0.7152083
66,4,braycurtis,0.7152083
67,5,braycurtis,0.7152083
68,6,braycurtis,0.7152083
69,7,braycurtis,0.7152083
70,8,braycurtis,0.7152083
71,9,braycurtis,0.7152083
72,1,canberra,0.70868355
73,2,canberra,0.70868355
74,3,canberra,0.70868355
75,4,canberra,0.70868355
76,5,canberra,0.70868355
77,6,canberra,0.70868355
78,7,canberra,0.70868355
79,8,canberra,0.70868355
80,9,canberra,0.70868355
81,1,chebyshev,0.70868355
82,2,chebyshev,0.70868355
83,3,chebyshev,0.70868355
84,4,chebyshev,0.70868355
85,5,chebyshev,0.70868355
86,6,chebyshev,0.70868355
87,7,chebyshev,0.70868355
88,8,chebyshev,0.70868355
89,9,chebyshev,0.70868355
90,1,dice,0.69689476
91,2,dice,0.69689476
92,3,dice,0.69689476
93,4,dice,0.69689476
94,5,dice,0.69689476
95,6,dice,0.69689476
96,7,dice,0.69689476
97,8,dice,0.69689476
98,9,dice,0.69689476
99,1,hamming,0.69689476
100,2,hamming,0.69689476
101,3,hamming,0.69689476
102,4,hamming,0.69689476
103,5,hamming,0.69689476
104,6,hamming,0.69689476
105,7,hamming,0.69689476
106,8,hamming,0.69689476
107,9,hamming,0.69689476
108,1,jaccard,0.70868355
109,2,jaccard,0.70868355
